X,Y,Z,Predicted_Corrosion_Rate
-19.5719624,12.0718699,-4.83682919,0.011512688
-19.5705528,12.0718699,-4.76439571,0.01150852
-19.5432072,12.0718699,-4.87709904,0.011513239
-19.5404911,12.0718699,-4.72641754,0.011507643
-19.5006275,12.0718699,-4.9064436,0.011518829
-19.5006256,12.0718699,-4.69924212,0.011507643
-19.4315147,12.0718699,-4.90501404,0.011521066
-19.4315128,12.0718699,-4.70067167,0.011510651
-19.3945866,12.0718699,-4.72838926,0.011512247
-19.3919716,12.0718699,-4.87501955,0.01151568
-19.3661633,12.0718699,-4.76443291,0.011512536
-19.3647881,12.0718699,-4.836833,0.01151568
