X,Y,Z,Predicted_Corrosion_Rate
-3.35924864,1.82891369,12.6133671,0.012031634
-3.35921955,1.72129571,12.6245937,0.010897051
-3.35704112,1.87584043,12.5718651,0.012031634
-3.35673928,1.78115392,12.6484709,0.012017996
-3.3566637,1.77175784,12.584939,0.012031634
-3.3547802,1.88605356,12.6442156,0.012031634
-3.34916925,1.73040688,12.6873941,0.008299967
-3.3490479,1.82237136,12.5459223,0.012031634
-3.3490026,1.7122227,12.5619669,0.010091693
-3.34805822,1.83463812,12.6758137,0.012017996
-3.33696508,1.78937793,12.7085657,0.011347702
-3.33680606,1.76271296,12.5251255,0.012031919
-3.33662176,1.87256706,12.5087004,0.012031634
-3.33562994,1.87634635,12.6986542,0.012032546
-3.32029271,1.81371117,12.490593,0.012088706
-3.32024479,1.73853886,12.7433586,0.009144691
-3.32014847,1.70418048,12.5063686,0.01044984
-3.31872916,1.84625268,12.7299089,0.011929378
-3.30293751,1.90287328,12.7405672,0.011929378
-3.29958081,1.75555348,12.4746275,0.011505922
-3.29943776,1.79720867,12.7594242,0.011929378
-3.29900622,1.86472702,12.4581537,0.01209472
-3.27545905,1.69781041,12.4622345,0.010738432
-3.27529168,1.80763865,12.4461384,0.012088706
-3.27386713,1.74514878,12.7887487,0.009977861
-3.26446366,1.86761415,12.7774162,0.011929378
-3.25354218,1.80026209,12.793642,0.011929378
-3.24830699,1.75071752,12.4377298,0.011511937
-3.24745059,1.85980594,12.4214401,0.012108876
-3.21881342,1.69370437,12.4336653,0.010610881
-3.21590686,1.7492938,12.8170853,0.0091927
-3.21537113,1.80695117,12.4161282,0.012108876
-3.20878816,1.91020703,12.7958593,0.011929378
-3.20813155,1.83789825,12.8065071,0.011929378
-3.19998121,1.85500717,12.4050703,0.012108876
-3.15906572,1.82028675,12.4052858,0.012108876
-3.15902519,1.75627017,12.414567,0.010766244
-3.15898466,1.69231772,12.4238386,0.008415404
-3.15313625,1.87829936,12.8074799,0.011929378
-3.15309572,1.8144151,12.8167419,0.011929378
-3.15305543,1.75062466,12.8259907,0.0091867335
-3.12016726,1.85725331,12.4031448,0.01209923
-3.09918714,1.84022319,12.8048115,0.011929378
-3.09873295,1.91448569,12.7938957,0.011929378
-3.09680843,1.69361842,12.432539,0.010608878
-3.09623766,1.80437064,12.4166803,0.012093948
-3.09290671,1.74922323,12.8160601,0.009286407
-3.06718826,1.75063598,12.436038,0.011406379
-3.06705928,1.86160994,12.4200478,0.01209923
-3.05066133,1.87590647,12.7780428,0.011929378
-3.04703045,1.80805624,12.7856274,0.011929378
-3.03968215,1.69763994,12.4600267,0.010734919
-3.03950596,1.80835187,12.44415,0.012093948
-3.03533959,1.74500227,12.7866945,0.008977083
-3.01527381,1.75540388,12.4719334,0.011392223
-3.01465917,1.86643004,12.4565048,0.012093948
-3.01034832,1.84586728,12.7499609,0.011890818
-3.00750732,1.90231431,12.7387228,0.011890818
-3.0049727,1.7901994,12.7522593,0.011890818
-2.99436498,1.81365311,12.4872379,0.012088706
-2.99420643,1.70393705,12.5032625,0.0107243955
-2.99011493,1.73840821,12.7410126,0.008852397
-2.984303,1.82800043,12.7191582,0.011890652
-2.97862768,1.87353122,12.7028542,0.012032546
-2.97739744,1.8729918,12.5052576,0.012088706
-2.97703147,1.76293838,12.5217686,0.012031634
-2.97298813,1.78397334,12.7049685,0.012032546
-2.96421504,1.82240021,12.5426922,0.012031634
-2.96418023,1.71197867,12.5585995,0.01084161
-2.96217132,1.83278263,12.6701384,0.011978741
-2.96189761,1.73020864,12.6843319,0.010179473
-2.9563365,1.89361584,12.6374187,0.012031634
-2.95618773,1.87978971,12.5653067,0.012031634
-2.95602536,1.77176154,12.5814953,0.012031919
-2.95476508,1.77918398,12.6446409,0.012088706
-2.95293832,1.82942903,12.6047306,0.012031634
-2.95285511,1.72105455,12.6211519,0.010813139
