X,Y,Z,Matched_Distance,Predicted_Corrosion_Rate
0.1151647121,0.9567999840,-0.6274254918,0.0000000326,-0.0001066613
0.1367291361,0.9567999840,-0.4719696641,0.0000000178,0.0000073520
0.1428504884,0.9567999840,-0.7818986773,0.0000000212,-0.0001066613
0.2055200934,0.9567999840,-0.3307174444,0.0000000215,0.0000073520
0.2171702385,0.9567999840,-0.9203309417,0.0000000264,-0.0001066613
0.3147120774,0.9567999840,-0.2178135812,0.0000000189,-0.0001066613
0.3308327198,0.9567999840,-1.0288994312,0.0000000374,0.0000073520
0.4535528123,0.9567999840,-0.1443524510,0.0000000173,-0.0001066613
0.4724569917,0.9567999840,-1.0967780352,0.0000000257,0.0000073520
0.6084816456,0.9567999840,-0.1175904274,0.0000000168,-0.0001031381
0.6150671244,0.9567999840,-1.1175470352,0.0000000250,0.0000073520
0.7640594840,0.9567999840,-0.1402617395,0.0000000314,-0.0001066613
0.7700708508,0.9567999840,-1.0929141045,0.0000000258,0.0000073520
0.9047759175,0.9567999840,-0.2100316137,0.0000000336,-0.0001066613
0.9098663926,0.9567999840,-1.0213952065,0.0000000631,-0.0001066613
1.0169196129,0.9567999840,-0.3200331032,0.0000000373,-0.0001066613
1.0206483603,0.9567999840,-0.9099575281,0.0000000335,-0.0001066613
1.0894045830,0.9567999840,-0.4594204426,0.0000000602,-0.0001066613
1.0913667679,0.9567999840,-0.7696610093,0.0000000250,-0.0001066613
1.1150572300,0.9567999840,-0.6143975854,0.0000000367,-0.0001066613
