X,Y,Z,Predicted_Corrosion_Rate
-19.5719624,12.0718699,-4.83682919,0.0111479522
-19.5705528,12.0718699,-4.76439571,0.0111479531
-19.5432072,12.0718699,-4.87709904,0.0111479522
-19.5404911,12.0718699,-4.72641754,0.0111479531
-19.5006275,12.0718699,-4.9064436,0.0111479558
-19.5006256,12.0718699,-4.69924212,0.0111479549
-19.4315147,12.0718699,-4.90501404,0.0111479594
-19.4315128,12.0718699,-4.70067167,0.0111479567
-19.3945866,12.0718699,-4.72838926,0.0111479585
-19.3919716,12.0718699,-4.87501955,0.0111479603
-19.3661633,12.0718699,-4.76443291,0.0111479567
-19.3647881,12.0718699,-4.836833,0.0111479585
